"INDICADOR" "NOTA" "DESDE" "HASTA"
"Compromisos, AIF (compromisos [COM], US$ a precios actuales)" "Los compromisos (AIF) son la suma de nuevos compromisos relativos a préstamos públicos y con garantía pública de la Asociación Internacional de Fomento (AIF). Datos en US$ a precios actuales." 1970 2017
"Compromisos, BIRF (compromisos [COM], US$ a precios actuales)" "Los compromisos (BIRF) son la suma de nuevos compromisos relativos a préstamos públicos y con garantía pública del Banco Internacional de Reconstrucción y Fomento (BIRF). Datos en US$ a precios actuales." 1970 2017
"Compromisos, públicos y con garantía pública (COM, US$ a precios actuales)" "Los compromisos son el monto total de préstamos a largo plazo por los que se firmaron contratos en el año especificado; no se dispone de datos sobre la deuda no garantizada privada. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Computación, comunicaciones y otros servicios (% de las exportaciones de servicios comerciales)" "La computación, comunicaciones y otros servicios (porcentaje de las exportaciones de servicios comerciales) incluye actividades tales como las telecomunicaciones internacionales y los servicios postales y de mensajería; los datos informáticos; las operaciones de servicios relacionadas con las noticias entre residentes y no residentes; los servicios de construcción; las regalías y tarifas de licencia; servicios empresariales, profesionales y técnicos varios; y servicios personales, culturales y recreativos." 1976 2017
"Computadoras, comunicaciones y otros servicios (% de importaciones de servicios comerciales)" "La computación, comunicaciones y otros servicios (porcentaje de las importaciones de servicios comerciales) incluye actividades tales como las telecomunicaciones internacionales y los servicios postales y de mensajería; los datos informáticos; las transacciones de servicios relacionadas con las noticias entre residentes y no residentes; los servicios de construcción; las regalías y tarifas de licencia; servicios empresariales, profesionales y técnicos varios; y servicios personales, culturales y recreativos." 1976 2017
"Comunicaciones, computadoras, etc. (% de importaciones de servicios, balanza de pagos)" "Comunicaciones, informática, información y otros servicios (% de las importaciones de servicios, balanza de pagos) cubren las telecomunicaciones internacionales y los servicios postales y de mensajería, datos de computadoras, transacciones de servicios relacionadas con las noticias entre residentes y no residentes, servicios de construcción, regalías y derechos de licencia, negocios varios, servicios profesionales y técnicos, servicios personales, culturales y recreativos, y servicios gubernamentales no comprendidos en otra parte. Las importaciones de servicios se refieren a la producción económica de bienes intangibles que pueden ser producidos, transferidos y consumidos al mismo tiempo. Las transacciones internacionales de servicios son definidas por el Manual de Balanza de Pagos del Fondo Monetario Internacional (FMI)  de 1993, pero las definiciones pueden variar, sin embargo, entre las economías informantes." 1976 2017
"Comunicaciones, computadoras, etc. (% de las exportaciones de servicios, balanza de pagos)" "Comunicaciones, informática, información y otros servicios (% de las importaciones de servicios, balanza de pagos) cubren las telecomunicaciones internacionales y los servicios postales y de mensajería, datos de computadoras, transacciones de servicios relacionadas con las noticias entre residentes y no residentes, servicios de construcción, regalías y derechos de licencia, negocios varios, servicios profesionales y técnicos, servicios personales, culturales y recreativos, y servicios gubernamentales no comprendidos en otra parte. Las exportaciones de servicios se refieren a la producción económica de bienes intangibles que pueden ser producidos, transferidos y consumidos al mismo tiempo. Las transacciones de servicios internacionales están definidas en el Manual de Balanza de Pagos del FMI (1993) pero las definiciones pueden variar entre las economías informantes." 1976 2017
"Comunidad de trabajadores de la salud (por cada 1.000 personas)" "Los trabajadores comunitarios de la salud incluyen a diversos tipos de asistentes comunitarios de salud, muchos con denominaciones específicas de cada país, como funcionarios de salud comunitarios, trabajadores comunitarios de salud-educación, trabajadores de la salud familiar, enfermeras visitantes y trabajadores de paquete de extensión de la salud." 2001 2001
"Condonación o reducción de deuda (US$ a precios actuales)" "La condonación o reducción de la deuda muestra la variación en el saldo de deuda debido a condonación o reducción de deuda. Se obtiene restando la deuda condonada y la reducción del saldo de deuda de la recompra de deuda. Datos en US$ a precios actuales." 1970 2017
"Consumo de alcohol total per cápita (litros de alcohol puro, estimaciones previstas, mayores de 15 años)" "Total alcohol consumption per capita is based on projections for the amount of alcohol consumption (liters of pure alcohol) per person ages 15+ per year." 2010 2016
"Consumo de sal iodada (% de hogares)" "El consumo de sal iodada se refiere al porcentaje de hogares que usan sal comestible fortificada con iodo." 2003 2008
"Consumo medio o ingresos per cápita según encuestas, 40 % más pobre de la población (USD por día según la PPA de 2011)" "Mean consumption or income per capita (2011 PPP $ per day) used in calculating the growth rate in the welfare aggregate of the bottom 40% of the population in the income distribution in a country." 2012 2017
"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2011)" "Mean consumption or income per capita (2011 PPP $ per day) used in calculating the growth rate in the welfare aggregate of total population." 2012 2017
"Contracción neta de pasivos, total (% del PIB)" "Net incurrence of government liabilities includes foreign financing (obtained from nonresidents) and domestic financing (obtained from residents), or the means by which a government provides financial resources to cover a budget deficit or allocates financial resources arising from a budget surplus. The net incurrence of liabilities should be offset by the net acquisition of financial assets." 1986 2007
"Contracción neta de pasivos, total (UMN actual)" "Net incurrence of government liabilities includes foreign financing (obtained from nonresidents) and domestic financing (obtained from residents), or the means by which a government provides financial resources to cover a budget deficit or allocates financial resources arising from a budget surplus. The net incurrence of liabilities should be offset by the net acquisition of financial assets." 1986 2007
"Contribuciones sociales (% de la recaudación)" "Las contribuciones sociales incluyen las contribuciones al seguro social por parte de los empleados, empleadores y trabajadores independientes, y otras contribuciones cuya fuente no puede determinarse. También incluyen las contribuciones reales o imputadas a esquemas de seguro operados por el Gobierno." 1985 2007
"Contribuciones sociales (UMN a precios actuales)" "Las contribuciones sociales incluyen las contribuciones al seguro social por parte de los empleados, empleadores y trabajadores independientes, y otras contribuciones cuya fuente no puede determinarse. También incluyen las contribuciones reales o imputadas a esquemas de seguro operados por el Gobierno." 1985 2007
"Cortes de energía en empresas mensuales (cantidad)" "Los cortes de energía corresponden al promedio de cortes de energía que sufre un establecimiento mensualmente." 2006 2017
"Costo de los procedimientos para el inicio de actividades comerciales, mujeres (% del INB per cápita)" "El costo de registrar una empresa se normaliza presentándolo como un porcentaje del ingreso nacional bruto (INB) per cápita." 2003 2018
"Costo de los procedimientos para el inicio de actividades comerciales, varones (% del INB per cápita)" "El costo de registrar una empresa se normaliza presentándolo como un porcentaje del ingreso nacional bruto (INB) per cápita." 2003 2018
"Costo de los procedimientos para establecer una empresa (% del INB per cápita)" "El costo de registrar una empresa se normaliza presentándolo como un porcentaje del ingreso nacional bruto (INB) per cápita." 2003 2018
"Costo para exportar, cumplimiento documental (USD)" "Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study." 2014 2018
"Costo para exportar, cumplimiento fronterizo (USD)" "Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies." 2014 2018
"Costo para importar, cumplimiento documental (USD)" "Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study." 2014 2018
"Costo para importar, cumplimiento fronterizo (USD)" "Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies." 2014 2018
"Crecimiento de la masa monetaria (% anual)" "La masa monetaria (Estadísticas financieras internacionales, línea 35L..ZK) es la suma de la moneda fuera de los bancos; depósitos de demanda que no sean los del gobierno central; depósitos a plazo, ahorros y depósitos en moneda extranjera de sectores residentes que no sean el gobierno central; cheques bancarios y de viajero y otras garantías como certificados de depósito y documentos negociables." 1970 2017
"Crecimiento de la población (% anual)" "Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship." 1970 2017
"Crecimiento de la población rural (% anual)" "Población rural se refiere a las personas que viven en zonas rurales según la definición de la oficina nacional de estadísticas. Se calcula como la diferencia entre la población total y la población urbana." 1970 2017
"Crecimiento de la población urbana (% anual)" "Población urbana se refiere a las personas que viven en zonas urbanas según la definición de la oficina nacional de estadísticas. Se calcula utilizando las estimaciones demográficas del Banco Mundial y las proporciones urbanas de las Perspectivas de Urbanización en el Mundo de las Naciones Unidas." 1970 2017
"Crecimiento del INB (% anual)" "El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior." 1977 2017
"Crecimiento del PIB (% anual)" "Tasa de crecimiento anual porcentual del PIB a precios de mercado en moneda local, a precios constantes. Los agregados están expresados en dólares de los Estados Unidos a precios constantes del año 2010. El PIB es la suma del valor agregado bruto de todos los productores residentes en la economía más todo impuesto a los productos, menos todo subsidio no incluido en el valor de los productos. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales." 1970 2017
"Crecimiento del PIB per cápita (% anual)" "Tasa de crecimiento porcentual anual del PIB per cápita en moneda local, a precios constantes. El PIB per cápita es el producto interno bruto dividido por la población a mitad de año. El PIB a precio de comprador es la suma del valor agregado bruto de todos los productores residentes en la economía más todo impuesto a los productos, menos todo subsidio no incluido en el valor de los productos. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales.Los datos se expresan en dólares de los Estados Unidos a precios constantes del año 2010." 1970 2017
"Crecimiento per cápita del INB (% anual)" "El INB per cápita es el ingreso nacional bruto dividido por la población a mitad de año. El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior." 1977 2017
"Crédito interno al sector privado (% del PIB)" "Domestic credit to private sector refers to financial resources provided to the private sector by financial corporations, such as through loans, purchases of nonequity securities, and trade credits and other accounts receivable, that establish a claim for repayment. For some countries these claims include credit to public enterprises. The financial corporations include monetary authorities and deposit money banks, as well as other financial corporations where data are available (including corporations that do not accept transferable deposits but do incur such liabilities as time and savings deposits). Examples of other financial corporations are finance and leasing companies, money lenders, insurance corporations, pension funds, and foreign exchange companies." 1970 2017
"Crédito interno al sector privado otorgado por los bancos (% del PIB)" "Domestic credit to private sector by banks refers to financial resources provided to the private sector by other depository corporations (deposit taking corporations except central banks), such as through loans, purchases of nonequity securities, and trade credits and other accounts receivable, that establish a claim for repayment. For some countries these claims include credit to public enterprises." 1970 2017
"Crédito interno neto (UMN a precios actuales)" "El crédito interno neto es la suma del crédito neto del sector público no financiero, el crédito al sector privado y otras cuentas. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Crédito interno proporcionado por el sector financiero (% del PIB)" "Domestic credit provided by the financial sector includes all credit to various sectors on a gross basis, with the exception of credit to the central government, which is net. The financial sector includes monetary authorities and deposit money banks, as well as other financial corporations where data are available (including corporations that do not accept transferable deposits but do incur such liabilities as time and savings deposits). Examples of other financial corporations are finance and leasing companies, money lenders, insurance corporations, pension funds, and foreign exchange companies." 1970 2017
"Créditos a otros sectores de la economía nacional (% del PIB)" "El uso de recursos por otros sectores de la economía nacional (Estadísticas financieras internacionales, línea 52S o 32S) incluye el crédito bruto del sistema financiero a hogares, instituciones sin fines de lucro que atienden a hogares, corporaciones no financieras, gobiernos locales y estatales y fondos de garantía social." 2001 2017
"Créditos a otros sectores de la economía nacional (crecimiento anual como % de la masa monetaria)" "El uso de recursos por otros sectores de la economía nacional (Estadísticas financieras internacionales, línea 32S..ZK) incluye el crédito bruto del sistema financiero a los hogares, las instituciones sin fines de lucro que atienden hogares, las corporaciones no financieras, los gobiernos estatales y locales y los fondos de seguridad social." 2002 2017
"Créditos al gobierno central (crecimiento anual como % de la masa monetaria)" "El uso de recursos por el gobierno central (Estadísticas financieras internacionales, línea 32AN..ZK) incluye préstamos a instituciones gubernamentales sin considerar los depósitos." 1970 2017
"Créditos al gobierno central, etc. (% del PIB)" "El uso de recursos por el gobierno central (Estadísticas financieras internacionales, línea 52AN o 32AN) incluye préstamos a instituciones del gobierno central sin considerar los depósitos." 1970 2017
"Créditos al sector privado (crecimiento anual como % de la masa monetaria)" "El uso de recursos por el sector privado (Estadísticas financieras internacionales, línea 32D..ZK o 32D..ZF) incluye el crédito bruto del sistema financiero hacia personas, empresas, entidades públicas no financieras no incluidas en el crédito nacional neto e instituciones financieras que no se incluyen en otra parte." 1970 2017
"Cuenta de capital neto (balanza de pagos, US$ a precios actuales)" "La cuenta de capital neto incluye la condonación de la deuda del Gobierno, las donaciones de inversión en dinero o en especies otorgadas por una entidad gubernamental y los impuestos sobre las transferencias de capital. También se incluyen la condonación de deuda y las transferencias de capital de los migrantes y las donaciones de inversión por parte de entidades no gubernamentales. Datos en US$ a precios actuales." 1987 2017
"Cuenta financiera neta (BDP, USD a precios actuales)" "The net financial account shows net acquisition and disposal of financial assets and liabilities. It measures how net lending to or borrowing from nonresidents is financed, and is conceptually equal to the sum of the balances on the current and capital accounts. Data are in current U.S. dollars." 1976 2017
"Deflactor del gasto nacional bruto (año base varía según el país)" "El gasto nacional bruto (anteriormente, absorción interna) es la suma del gasto de consumo final de los hogares (anteriormente, consumo privado, el gasto de consumo final del gobierno general (anteriormente, consumo del gobierno general) y la formación bruta de capital (anteriormente, inversión interna bruta)." 1970 2017
"Deflactor del PIB: series vinculadas (el año de referencia varía según el país)" "The GDP implicit deflator is calculated as the ratio of GDP in current local currency to GDP in constant local currency. This series has been linked to produce a consistent time series to counteract breaks in series over time due to changes in base years, source data and methodologies. Thus, it may not be comparable with other national accounts series in the database for historical years. The base year varies by country." 1989 2017
"Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)" "Demand for family planning satisfied by modern methods refers to the percentage of married women ages 15-49 years whose need for family planning is satisfied with modern methods." 1989 2008
"Demora en obtener una conexión eléctrica (días)" "La demora en obtener una conexión eléctrica corresponde a la espera promedio entre el día que el establecimiento solicita la conexión eléctrica y el día en que recibe el servicio." 2006 2017
"Densidad de nuevas empresas (registros nuevos por cada 1.000 personas entre 15 y 64 años)" "Nuevas empresas se refiere a la cantidad de nuevas corporaciones de responsabilidad limitada registradas en el año calendario." 2006 2016
"Densidad de población (personas por kilómetro)" "La densidad de población se define como la población a mitad de año dividida por la superficie territorial en kilómetros cuadrados. La población se basa en la definición de facto de la población, que incluye a todos los residentes independientemente de su estado legal o de ciudadanía, con excepción de los refugiados no asentados permanentemente en el país de asilo, que suelen considerarse parte de la población del país de origen. El área de tierra es la superficie total de un país, sin incluir la superficie cubierta por masas de agua interiores, los derechos del país sobre la plataforma continental ni las zonas económicas exclusivas. En la mayoría de los casos, la definición de masas de agua interiores incluye los principales ríos y lagos." 1970 2017
"Desembolsos de la deuda externa, a largo plazo (desembolsos [DES], US$ a precios actuales)" "Los desembolsos de la deuda a largo plazo son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2018
"Desembolsos de la deuda externa, a largo plazo + FMI (DES, US$ a precios actuales)" "Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. Este elemento incluye los desembolsos de la deuda a largo plazo y las compras del FMI. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Las compras del FMI son los giros totales de la Cuenta de Recursos Generales del FMI durante el año especificado, excluidos los giros del tramo de reserva. Para mantener la capacidad de comparación entre los datos y las operaciones con el FMI y los datos sobre la deuda a largo plazo, el uso del crédito del FMI pendiente de pago al final del año (saldo) se convierte a dólares estadounidenses al tipo de cambio en DEG vigente en ese momento. Las compras se convierten utilizando el tipo de cambio promedio de DEG del año en que ocurrieron las operaciones. Datos en US$ a precios actuales." 1970 2017
"Desembolsos de la deuda externa, privada no garantizada (PNG) (DES, US$ a precios actuales)" "La deuda externa privada no garantizada es una obligación externa de un deudor privado, cuyo reembolso no está garantizado por una entidad pública. Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Desembolsos de la deuda externa, pública y con garantía pública (PGP) (DES, US$ a precios actuales)" "Las deudas a largo plazo pública y con garantía pública se suman. La deuda pública es una obligación externa de un deudor público, incluido el Gobierno nacional, una subdivisión política (o un organismo de su dependencia) y los órganos públicos autónomos. La deuda con garantía pública es una obligación externa de un deudor privado, cuyo reembolso está garantizado por una entidad pública. Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)" "El desempleo es la proporción de la población activa que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, mujeres (% de participación femenina en la fuerza laboral) (estimación nacional)" "Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1985 2017
"Desempleo, mujeres jóvenes (% de la población activa femenina entre 15 y 24 años de edad) (estimación modelado OIT)" "El desempleo entre los jóvenes es la proporción de la población activa de entre 15 y 24 años que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, mujeres jóvenes (% de participación en la fuerza laboral de mujeres de 15 a 24 años) (estimación nacional)" "Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1986 2017
"Desempleo, total (% de la población activa total) (estimación modelado OIT)" "El desempleo es la proporción de la población activa que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)" "Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1971 2017
"Desempleo, total de jóvenes (% de la población activa total entre 15 y 24 años de edad) (estimación modelado OIT)" "El desempleo entre los jóvenes es la proporción de la población activa de entre 15 y 24 años que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, total de jóvenes (% del total de participación en la fuerza laboral de 15 a 24 años) (estimación nacional)" "Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1986 2017
"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)" "El desempleo es la proporción de la población activa que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, varones (% de participación masculina en la fuerza laboral) (estimación nacional)" "Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1985 2017
"Desempleo, varones jóvenes (% de la población activa masculina entre 15 y 24 años de edad) (estimación modelado OIT)" "El desempleo entre los jóvenes es la proporción de la población activa de entre 15 y 24 años que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país" 1991 2018
"Desempleo, varones jóvenes (% de participación en la fuerza laboral de varones de 15 a 24 años) (estimación nacional)" "Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country." 1986 2017
"Deuda del gobierno central, total (% del PIB)" "La deuda es el saldo total de obligaciones contractuales directas a plazo fijo del Gobierno a otros pendientes en una fecha determinada. Incluye los pasivos internos y extranjeros, como dinero, depósitos a la vista, valores excepto acciones, y préstamos. Es el volumen bruto de pasivos del Gobierno menos el monto de acciones y derivados financieros en manos del Gobierno. Como la deuda es un saldo y no un flujo, se mide en una fecha determinada; por lo general, el ultimo día del ejercicio." 1994 2001
"Deuda del gobierno central, total (UMN a precios actuales)" "La deuda es el saldo total de obligaciones contractuales directas a plazo fijo del Gobierno a otros pendientes en una fecha determinada. Incluye los pasivos internos y extranjeros, como dinero, depósitos a la vista, valores excepto acciones, y préstamos. Es el volumen bruto de pasivos del Gobierno menos el monto de acciones y derivados financieros en manos del Gobierno. Como la deuda es un saldo y no un flujo, se mide en una fecha determinada; por lo general, el ultimo día del ejercicio." 1994 2001
"Deuda en condiciones concesionarias (% del total de la deuda externa)" "Relación entre deuda en condiciones concesionarias y volumen total de la deuda externa La deuda en condiciones concesionarias se define como préstamos con un elemento de donación original del 25% o más." 1970 2017
"Deuda externa acumulada (% del INB)" "Relación entre volumen total de deuda externa e ingreso nacional bruto. La deuda externa total es el monto adeudado a los no residentes, que se reembolsa en divisas, bienes o servicios. La deuda externa total es la suma de la deuda a largo plazo pública, con garantía pública, y privada no garantizada, el uso del crédito del FMI y la deuda a corto plazo. La deuda a corto plazo incluye toda la deuda con un vencimiento original de un año o menos y los atrasos en los intereses de la deuda a largo plazo. El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior." 1970 2017
"Deuda externa acumulada, a largo plazo (deuda desembolsada y pendiente :DOD, US$ a precios actuales)" "La deuda a largo plazo es deuda con un vencimiento original o extendido de más de un año. Consta  tres componentes: la deuda pública,  la deuda pública con garantía pública y la deuda privada no garantizada. Datos en US$ a precios actuales." 1970 2017
"Deuda externa acumulada, privada sin garantía (PNG) (DOD, US$ a precios actuales)" "La deuda externa privada no garantizada comprende las obligaciones externas a largo plazo de deudores privados cuyo reembolso no está garantizado por una entidad pública. Datos en US$ a precios actuales." 1970 2017
"Deuda externa acumulada, total (DOD, US$ a precios actuales)" "La deuda externa total es el monto adeudado a los no residentes, que se reembolsa en divisas, bienes o servicios. La deuda externa total es la suma de la deuda a largo plazo pública, con garantía pública, y privada no garantizada, el uso del crédito del FMI y la deuda a corto plazo. La deuda a corto plazo incluye toda la deuda con un vencimiento original de un año o menos y los atrasos en los intereses de la deuda a largo plazo. Datos en US$ a precios actuales." 1970 2017
"Diferencial de tasas de interés (tasa activa menos tasa pasiva, %)" "El diferencial de tasas de interés es la tasa de interés que cobran los bancos por préstamos a clientes de primera línea menos la tasa de interés que pagan los bancos comerciales o similares por los depósitos a la vista, a plazo o de ahorro." 1987 2017
"Discrepancia en la estimación del PIB por el método del gasto (UMN a precios actuales)" "La discrepancia en la estimación del PIB por el método del gasto es la discrepancia incluida en el gasto de consumo final, etc. (consumo total, etc.). Esta discrepancia se incluye para asegurar que el PIB según el enfoque del gasto sea igual al PIB medido según el enfoque del ingreso y el de producción. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Discrepancia en la estimación del PIB por el método del gasto (UMN a precios constantes)" "Generalmente surge una discrepancia estadística cuando los componentes del PIB se estiman en forma independiente por origen industrial y por categorías de gasto. Este ítem representa la discrepancia en el uso de recursos (es decir, la estimación del PIB por categorías de gasto). Los datos están expresados en moneda local a precios constantes." 1970 2017
"Donaciones de la AIF (US$ a precios actuales)" "Las donaciones de la AIF son desembolsos netos de donaciones de la Asociación Internacional de Fomento (AIF). Datos en US$ a precios actuales." 1970 2017
"Donaciones y otros ingresos (% de ingresos)" "Las donaciones y otros ingresos incluyen las donaciones de Gobiernos extranjeros, organizaciones internacionales y demás unidades de gobierno; el interés; los dividendos; la renta; los recibos con contrapartida, no reembolsables, con fines públicos (como multas, derechos administrativos e ingresos empresariales generados por los activos del Gobierno); y recibos voluntarios, sin contrapartida y no reembolsables que no constituyan donaciones." 1985 2007
"Donaciones y otros ingresos (UMN a precios actuales)" "Las donaciones y otros ingresos incluyen las donaciones de Gobiernos extranjeros, organizaciones internacionales y demás unidades de gobierno; el interés; los dividendos; la renta; los recibos con contrapartida, no reembolsables, con fines públicos (como multas, derechos administrativos e ingresos empresariales generados por los activos del Gobierno); y recibos voluntarios, sin contrapartida y no reembolsables que no constituyan donaciones." 1985 2007
"Donaciones, excluidas las destinadas a cooperación técnica (balanza de pagos, US$ corrientes)" "Las donaciones para fines de cooperación técnica comprenden las donaciones independientes, que están destinadas a financiar la transferencia de conocimientos técnicos y gerenciales específicos o de tecnología con el fin de fortalecer la capacidad nacional en general, sin conexión a proyectos de inversión específicos, y las donaciones relacionadas con inversiones, que se otorgan para reforzar la capacidad de ejecutar proyectos de inversión específicos. Datos en US$ a precios actuales." 1970 2017
"Edad de ingreso a la escuela secundaria (años)" "La edad de ingreso a la escuela secundaria es la edad en la que los estudiantes ingresan a la escuela secundaria, bajo el supuesto de que comenzaron en la edad oficial de ingreso al nivel inicial de educación, estudiaron a tiempo completo y progresaron a lo largo del sistema sin repetir o saltear grados." 1970 2018
"Edad de inicio de la educación de nivel primario" "La edad de inicio de la educación de nivel primario es la edad en la cual los estudiantes ingresan a dicho nivel educativo bajo el supuesto de que han comenzado en la edad de ingreso oficial para el nivel más básico de educación, que han recibido instrucción a tiempo completo y que han avanzado a través del sistema sin repetir ni omitir ningún grado." 1970 2018
"Educación de nivel primario, alumnos" "Matrícula en educación primaria, instituciones públicas y privadas, todos los programas, total. Corresponde al número total de estudiantes matriculados en instituciones públicas y privadas de educación primaria." 1970 2017
"Educación de nivel primario, alumnos (% de mujeres)" "Porcentaje de alumnas, educación primaria. Corresponde al número de alumnas en el nivel primario, expresado como porcentaje del total de estudiantes (niños y niñas) en el nivel primario en un año escolar determinado." 1970 2017
"Educación de nivel primario, duración (años)" "Duración de la educación primaria es el número de grados (años) de los que consta la educación primaria." 1970 2018
"Educación de nivel primario, maestras (% de mujeres)" "Porcentaje de maestras, educación primaria. Corresponde al número de maestras en primaria, expresado como porcentaje del total de docentes (varones y mujeres) en dicho nivel en un año escolar determinado. El término “docentes” se refiere a personas empleadas a tiempo completo o parcial, facultadas oficialmente para guiar y dirigir la experiencia de aprendizaje de alumnos y estudiantes, independientemente de título académico o del medio (presencial y (o) a distancia). Esta definición excluye al personal educacional que no cumple funciones docentes activas (por ejemplo, directores y directoras de escuela que no imparten docencia) y personas que trabajan ocasionalmente o de manera voluntaria en instituciones educacionales." 1999 2017
"Educación de nivel primario, maestros" "Personal docente en educación primaria, instituciones públicas y privadas, tiempo completo y parcial, todos los programas, total. Corresponde al número total de docentes en instituciones públicas y privadas de educación primaria. El término “docentes” se refiere a personas empleadas a tiempo completo o parcial, facultadas oficialmente para guiar y dirigir la experiencia de aprendizaje de alumnos y estudiantes, independientemente de título académico o del medio de enseñanza (presencial y (o) a distancia). Esta definición excluye al personal educacional que no cumple funciones docentes activas (por ejemplo, directores y directoras de escuela que no imparten docencia) y personas que trabajan ocasionalmente o de manera voluntaria en instituciones educacionales." 1999 2017
"Educación de nivel secundario, alumnos" "Matrícula total en educación secundaria, instituciones públicas y privadas, todos los programas, total. Corresponde al número total de estudiantes matriculados en instituciones públicas y privadas de educación secundaria." 1970 2017
"Educación de nivel secundario, alumnos (% de mujeres)" "Porcentaje de alumnas., educación secundaria, todos los programas, total. Corresponde al número de alumnas matriculadas en todos los programas de nivel secundario, expresado como porcentaje del total de estudiantes (niños y niñas) matriculados en el nivel secundario en un año escolar determinado." 1971 2017
